"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 13 12:59:10 UTC 2026","Sun Sep 13 12:59:12 UTC 2026","1629","tests","test_ads","TestAds","","","test_page_title_is_ads",""
"passed","Sun Sep 13 12:59:47 UTC 2026","Sun Sep 13 12:59:49 UTC 2026","2056","tests","test_calendars","TestCalendars","","","test_calendar_input_visible",""
"passed","Sun Sep 13 12:58:34 UTC 2026","Sun Sep 13 12:58:40 UTC 2026","5864","tests","test_ads","TestAds","","","test_ad_popup_visible_on_load",""
"passed","Sun Sep 13 13:01:04 UTC 2026","Sun Sep 13 13:01:06 UTC 2026","2469","tests","test_form","TestForm","","","Fill Message with comma-separated Automation Tools","
Спец. задание:
1. Получить средствами Selenium список элементов из раздела Automation Tools
2. Преобразовать в текст
3. Заполнить поле Message полученным списком через запятую
"
"passed","Sun Sep 13 12:58:58 UTC 2026","Sun Sep 13 12:59:04 UTC 2026","6481","tests","test_ads","TestAds","","","test_page_content_visible_after_close",""
"passed","Sun Sep 13 13:00:40 UTC 2026","Sun Sep 13 13:00:42 UTC 2026","1982","tests","test_form","TestForm","","","test_message_field_visible",""
"passed","Sun Sep 13 13:01:25 UTC 2026","Sun Sep 13 13:01:28 UTC 2026","3068","tests","test_modals","TestModals","","","test_simple_modal_opens",""
"passed","Sun Sep 13 13:01:58 UTC 2026","Sun Sep 13 13:02:03 UTC 2026","4760","tests","test_modals","TestModals","","","test_form_modal_close_button_works",""
"passed","Sun Sep 13 13:00:07 UTC 2026","Sun Sep 13 13:00:09 UTC 2026","2176","tests","test_calendars","TestCalendars","","","test_clear_input",""
"passed","Sun Sep 13 13:00:28 UTC 2026","Sun Sep 13 13:00:30 UTC 2026","2099","tests","test_calendars","TestCalendars","","","test_far_future_date_no_crash",""
"passed","Sun Sep 13 13:01:52 UTC 2026","Sun Sep 13 13:01:56 UTC 2026","3949","tests","test_modals","TestModals","","","test_form_modal_has_email_field",""
"passed","Sun Sep 13 13:02:04 UTC 2026","Sun Sep 13 13:02:06 UTC 2026","2393","tests","test_modals","TestModals","","","test_modal_content_not_visible_before_open",""
"passed","Sun Sep 13 13:02:10 UTC 2026","Sun Sep 13 13:02:14 UTC 2026","4174","tests","test_modals","TestModals","","","test_form_modal_submit_with_empty_fields",""
"passed","Sun Sep 13 12:59:57 UTC 2026","Sun Sep 13 12:59:59 UTC 2026","1844","tests","test_calendars","TestCalendars","","","test_type_valid_date",""
"passed","Sun Sep 13 13:00:31 UTC 2026","Sun Sep 13 13:00:32 UTC 2026","1254","tests","test_form","TestForm","","","test_name_field_visible",""
"passed","Sun Sep 13 12:59:30 UTC 2026","Sun Sep 13 12:59:37 UTC 2026","7081","tests","test_ads","TestAds","","","test_ad_hidden_after_close",""
"passed","Sun Sep 13 13:00:49 UTC 2026","Sun Sep 13 13:00:51 UTC 2026","1898","tests","test_form","TestForm","","","test_select_drink_checkbox",""
"passed","Sun Sep 13 13:00:16 UTC 2026","Sun Sep 13 13:00:19 UTC 2026","2965","tests","test_calendars","TestCalendars","","","test_retype_replaces_value",""
"passed","Sun Sep 13 13:00:52 UTC 2026","Sun Sep 13 13:00:54 UTC 2026","1754","tests","test_form","TestForm","","","test_select_color_radio",""
"passed","Sun Sep 13 13:02:07 UTC 2026","Sun Sep 13 13:02:09 UTC 2026","2598","tests","test_modals","TestModals","","","test_only_one_modal_can_be_opened",""
"passed","Sun Sep 13 13:00:43 UTC 2026","Sun Sep 13 13:00:45 UTC 2026","2069","tests","test_form","TestForm","","","test_submit_button_visible",""
